alert_id,prima_aparitie_utc,ultima_actualizare_utc,revizuit,content_hash,source,alert_type,data_emitere,interval_text,interval_start,interval_end,durata_ore,cod_culoare_max,fenomene_pe_cod_json,zona_afectata_text,judete_afectate,judete_count,judete_culori_json,feature_meta_json,text_alerta_plain,text_alerta_html,source_url,source_label,notes
f027549564e714cf,2026-09-01T01:53:52+00:00,2026-09-01T01:53:52+00:00,false,8985a4107ea7,nowcasting,nowcasting,2026-09-01T04:05,,2026-09-01T04:05:00,2026-09-01T06:00:00,1.9,1,"{""1"": ""Local, intensificări ale vântului cu viteze la rafală de 50…70 km/h, vijelie, frecvente descărcări electrice, averse torențiale care vor acumula 15...20 /mp, grindină de mici dimensiuni (1...2 cm)""}",Județul Arad ;<br>Județul Bihor ;<br>,AR,1,"{""AR"": 1}","{""AR"": {""county_code"": ""AR"", ""county_name"": ""Arad"", ""zone_name"": ""Arad"", ""display_name"": ""Arad"", ""localities"": [], ""geometry_source"": ""county_fallback"", ""match_confidence"": ""medium""}}","Local, intensificări ale vântului cu viteze la rafală de 50…70 km/h, vijelie, frecvente descărcări electrice, averse torențiale care vor acumula 15...20 /mp, grindină de mici dimensiuni (1...2 cm)",,,,
c5d6450a0f6823c6,2026-09-01T01:53:52+00:00,2026-09-01T01:53:52+00:00,false,449bf24ff529,nowcasting,nowcasting,2026-09-01T04:25,,2026-09-01T04:25:00,2026-09-01T06:30:00,2.1,1,"{""1"": ""Local, intensificări ale vântului cu viteze la rafală de 50…70 km/h, vijelie, frecvente descărcări electrice, averse torențiale care vor acumula 15...20 /mp, grindină de mici dimensiuni (1...2 cm)""}",Județul Sălaj ;<br>Județul Satu Mare ;<br>,SJ,1,"{""SJ"": 1}","{""SJ"": {""county_code"": ""SJ"", ""county_name"": ""Sălaj"", ""zone_name"": ""Sălaj"", ""display_name"": ""Sălaj"", ""localities"": [], ""geometry_source"": ""coordGis"", ""match_confidence"": ""high""}}","Local, intensificări ale vântului cu viteze la rafală de 50…70 km/h, vijelie, frecvente descărcări electrice, averse torențiale care vor acumula 15...20 /mp, grindină de mici dimensiuni (1...2 cm)",,,,
f286858e5a4a4d50,2026-09-01T19:34:25+00:00,2026-09-01T19:34:25+00:00,false,8c7619b6c665,nowcasting,nowcasting,2026-09-01T22:00,,2026-09-01T22:00:00,2026-09-01T22:45:00,0.8,1,"{""1"": ""averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului (50...70 km/h), grindină de mici dimensiuni(1...2 cm).""}","Județul Alba: Ocna Mureș, Unirea, Jidvei, Șona, Valea Lungă, Lopadea Nouă, Cetatea de Baltă, Sâncel, Lunca Mureșului, Mirăslău, Bucerdea Grânoasă, Fărău, Noșlac, Hopârta;<br>",AB,1,"{""AB"": 1}","{""AB"": {""county_code"": ""AB"", ""county_name"": ""Alba"", ""zone_name"": ""Alba - localitati"", ""display_name"": ""Alba - localitati"", ""localities"": [""Ocna Mureș"", ""Unirea"", ""Jidvei"", ""Șona"", ""Valea Lungă"", ""Lopadea Nouă"", ""Cetatea de Baltă"", ""Sâncel"", ""Lunca Mureșului"", ""Mirăslău"", ""Bucerdea Grânoasă"", ""Fărău"", ""Noșlac"", ""Hopârta""], ""geometry_source"": ""coordGis"", ""match_confidence"": ""high""}}","averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului (50...70 km/h), grindină de mici dimensiuni(1...2 cm).",,,,
d78b4382d66d7d35,2026-09-02T11:32:13+00:00,2026-09-02T11:32:13+00:00,false,d81210a86dde,nowcasting,nowcasting,2026-09-02T14:00,,2026-09-02T14:00:00,2026-09-02T15:00:00,1.0,1,"{""1"": ""Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu rafale de 45...55 km/h, grindină de dimensiuni mici (1....2 cm).""}","Județul Bacău: Onești, Târgu Ocna, Dărmănești, Dofteana, Oituz, Helegiu, Slănic-Moldova, Livezi, Târgu Trotuș, Bârsănești, Pârgărești, Cașin, Buciumi, Bogdănești;<br>",BC,1,"{""BC"": 1}","{""BC"": {""county_code"": ""BC"", ""county_name"": ""Bacău"", ""zone_name"": ""Bacău - localitati"", ""display_name"": ""Bacău - localitati"", ""localities"": [""Onești"", ""Târgu Ocna"", ""Dărmănești"", ""Dofteana"", ""Oituz"", ""Helegiu"", ""Slănic-Moldova"", ""Livezi"", ""Târgu Trotuș"", ""Bârsănești"", ""Pârgărești"", ""Cașin"", ""Buciumi"", ""Bogdănești""], ""geometry_source"": ""uat_match"", ""match_confidence"": ""medium""}}","Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu rafale de 45...55 km/h, grindină de dimensiuni mici (1....2 cm).",,,,
7b618a9a6982b353,2026-09-02T15:17:00+00:00,2026-09-02T15:17:00+00:00,false,3f0cc66423ac,nowcasting,nowcasting,2026-09-02T18:00,,2026-09-02T18:00:00,2026-09-02T19:00:00,1.0,1,"{""1"": ""Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu rafale de 50...70 km/h, izolat grindină de dimensiuni mici (1....2 cm).""}","Județul Argeş: Câmpulung, Rucăr, Pietroșani, Mihăești, Lerești, Schitu Golești, Corbi, Stoenești, Valea Mare Pravăț, Poienarii de Muscel, Godeni, Berevoești, Aninoasa, Domnești, Cetățeni, Vlădești, Bughea de Jos, Dragoslavele, Bughea de Sus, Boteni, Mioarele, Hârtiești;<br>Județul Prahova: Câmpina, Breaza, Sinaia, Comarnic, Vălenii de Munte, Brebu, Slănic, Vărbilău, Telega, Gura Vitioarei, Drajna, Bănești, Poiana Câmpina, Podenii Noi, Măgurele, Cornu, Vâlcănești, Teișani, Aluniș, Dumbrăvești, Șotrile, Bălțești, Bertea, Gornet, Șoimari, Provița de Jos, Predeal-Sărari, Provița de Sus, Ștefești, Adunați, Apostolache, Păcureți, Surani, Ariceștii Zeletin, Secăria, Cosminele, Talea;<br>Județul Dâmboviţa: Fieni, Bezdead, Buciumeni, Runcu, Pietroșița, Văleni-Dâmbovița, Malu cu Flori, Vișinești, Bărbulețu, Pucheni, Râu Alb;<br>Zona de munte a județului Dâmboviţa, respectiv zona de munte a localităților: Moroeni;<br>",AG;DB;PH,3,"{""AG"": 1, ""PH"": 1, ""DB"": 1}","{""AG"": {""county_code"": ""AG"", ""county_name"": ""Argeș"", ""zone_name"": ""Argeș - localitati"", ""display_name"": ""Argeș - localitati"", ""localities"": [""Câmpulung"", ""Rucăr"", ""Pietroșani"", ""Mihăești"", ""Lerești"", ""Schitu Golești"", ""Corbi"", ""Stoenești"", ""Valea Mare Pravăț"", ""Poienarii de Muscel"", ""Godeni"", ""Berevoești"", ""Aninoasa"", ""Domnești"", ""Cetățeni"", ""Vlădești"", ""Bughea de Jos"", ""Dragoslavele"", ""Bughea de Sus"", ""Boteni"", ""Mioarele"", ""Hârtiești""], ""geometry_source"": ""uat_match"", ""match_confidence"": ""high""}, ""PH"": {""county_code"": ""PH"", ""county_name"": ""Prahova"", ""zone_name"": ""Prahova - localitati"", ""display_name"": ""Prahova - localitati"", ""localities"": [""Câmpina"", ""Breaza"", ""Sinaia"", ""Comarnic"", ""Vălenii de Munte"", ""Brebu"", ""Slănic"", ""Vărbilău"", ""Telega"", ""Gura Vitioarei"", ""Drajna"", ""Bănești"", ""Poiana Câmpina"", ""Podenii Noi"", ""Măgurele"", ""Cornu"", ""Vâlcănești"", ""Teișani"", ""Aluniș"", ""Dumbrăvești"", ""Șotrile"", ""Bălțești"", ""Bertea"", ""Gornet"", ""Șoimari"", ""Provița de Jos"", ""Predeal-Sărari"", ""Provița de Sus"", ""Ștefești"", ""Adunați"", ""Apostolache"", ""Păcureți"", ""Surani"", ""Ariceștii Zeletin"", ""Secăria"", ""Cosminele"", ""Talea""], ""geometry_source"": ""uat_match"", ""match_confidence"": ""medium""}, ""DB"": {""county_code"": ""DB"", ""county_name"": ""Dâmbovița"", ""zone_name"": ""Dâmbovița - localitati"", ""display_name"": ""Dâmbovița - localitati"", ""localities"": [""Fieni"", ""Bezdead"", ""Buciumeni"", ""Runcu"", ""Pietroșița"", ""Văleni-Dâmbovița"", ""Malu cu Flori"", ""Vișinești"", ""Bărbulețu"", ""Pucheni"", ""Râu Alb"", ""Zona de munte a județului Dâmboviţa"", ""respectiv zona de munte a localităților: Moroeni""], ""geometry_source"": ""uat_match"", ""match_confidence"": ""medium""}}","Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu rafale de 50...70 km/h, izolat grindină de dimensiuni mici (1....2 cm).",,,,
edbbeb7ff94d54ef,2026-09-02T15:17:00+00:00,2026-09-02T15:17:00+00:00,false,e158431181fb,nowcasting,nowcasting,2026-09-02T18:00,,2026-09-02T18:00:00,2026-09-02T19:15:00,1.2,1,"{""1"": ""Averse torențiale care vor acumula 15...25 l/mp, frecvente descărcări electrice, intensificări ale vântului cu viteze de 45...55 km/h, grindină de dimensiuni mici (1...2 cm).""}","Județul Suceava: Moldovița, Vatra Moldoviței, Fundu Moldovei, Brodina, Frumosu, Pojorâta, Izvoarele Sucevei, Ulma, Moldova-Sulița, Cârlibaba, Breaza, Coșna, Ciocănești;<br>",SV,1,"{""SV"": 1}","{""SV"": {""county_code"": ""SV"", ""county_name"": ""Suceava"", ""zone_name"": ""Suceava - localitati"", ""display_name"": ""Suceava - localitati"", ""localities"": [""Moldovița"", ""Vatra Moldoviței"", ""Fundu Moldovei"", ""Brodina"", ""Frumosu"", ""Pojorâta"", ""Izvoarele Sucevei"", ""Ulma"", ""Moldova-Sulița"", ""Cârlibaba"", ""Breaza"", ""Coșna"", ""Ciocănești""], ""geometry_source"": ""coordGis"", ""match_confidence"": ""high""}}","Averse torențiale care vor acumula 15...25 l/mp, frecvente descărcări electrice, intensificări ale vântului cu viteze de 45...55 km/h, grindină de dimensiuni mici (1...2 cm).",,,,
